institution,sector,institution_type,topic,type,level,precision,artefact_count
Oxford University,museum,university,mixed,object,item,estimate,0
Oxford University,library,university,mixed,library,item,estimate,20000
Oxford University,archive,university,mixed,archive,item,estimate,5000000
Bangor University,archive,university,mixed,archive,collection,estimate,98
Bangor University,museum,university,mixed,object,item,estimate,0
Bangor University,library,university,mixed,library,item,estimate,0
Bangor University,archive,university,mixed,archive,item,estimate,0
University of York,archive,university,mixed,archive,item,estimate,132370
University of York,museum,university,mixed,object,item,estimate,0
University of York,library,university,mixed,library,item,estimate,0
University of Cambridge,museum,university,mixed,object,item,estimate,7000
University of Cambridge,library,university,mixed,library,item,estimate,10000000
University of Cambridge,archive,university,mixed,archive,item,estimate,0
Cardiff University,library,university,mixed,library,item,estimate,1100000
Cardiff University,museum,university,mixed,object,item,estimate,0
Cardiff University,archive,university,mixed,archive,item,estimate,0
Durham University,museum,university,mixed,object,item,estimate,36000
Durham University,library,university,mixed,library,item,estimate,70000
Durham University,archive,university,mixed,archive,item,estimate,0
University College London,museum,university,mixed,object,item,estimate,164000
University College London,library,university,mixed,library,item,estimate,0
University College London,archive,university,mixed,archive,item,estimate,0
University of Manchester,museum,university,mixed,object,item,estimate,4560000
University of Manchester,library,university,mixed,library,item,estimate,4000000
University of Manchester,archive,university,mixed,archive,item,estimate,0
King's College London,museum,university,mixed,object,item,estimate,0
King's College London,library,university,mixed,library,item,estimate,200000
King's College London,archive,university,mixed,archive,item,estimate,0
University of Birmingham,museum,university,mixed,object,item,estimate,250000
University of Birmingham,library,university,mixed,library,item,estimate,250000
University of Birmingham,archive,university,mixed,archive,item,estimate,4000000
Unversity of Warwick,museum,university,mixed,object,item,estimate,0
Unversity of Warwick,library,university,mixed,library,item,estimate,16000
Unversity of Warwick,archive,university,mixed,archive,item,estimate,0
Manchester Metropolitan Unversity,museum,university,mixed,object,item,estimate,0
Manchester Metropolitan Unversity,library,university,mixed,library,item,estimate,0
Manchester Metropolitan Unversity,archive,university,mixed,archive,item,estimate,0
Swansea University,museum,university,mixed,object,item,estimate,0
Swansea University,library,university,mixed,library,item,estimate,1700
Swansea University,archive,university,mixed,archive,item,estimate,0
University of Brighton,museum,university,mixed,object,item,estimate,0
University of Brighton,library,university,mixed,library,item,estimate,50000
University of Brighton,archive,university,mixed,archive,item,estimate,0
"SOAS, University of London",museum,university,mixed,object,item,estimate,0
"SOAS, University of London",library,university,mixed,library,item,estimate,60000
"SOAS, University of London",archive,university,mixed,archive,item,estimate,0
University of Aberdeen,museum,university,mixed,object,item,estimate,0
University of Aberdeen,library,university,mixed,library,item,estimate,530000
University of Aberdeen,archive,university,mixed,archive,item,estimate,0
University of Bristol,museum,university,mixed,object,item,estimate,100000
University of Bristol,library,university,mixed,library,item,estimate,0
University of Bristol,archive,university,mixed,archive,item,estimate,0
University of Leeds,museum,university,mixed,object,item,estimate,0
University of Leeds,library,university,mixed,library,item,estimate,350000
University of Leeds,archive,university,mixed,archive,item,estimate,0
University of Leicester,museum,university,mixed,object,item,estimate,25000
University of Leicester,library,university,mixed,library,item,estimate,0
University of Leicester,archive,university,mixed,archive,item,estimate,0
University of Reading,museum,university,mixed,object,item,estimate,0
University of Reading,library,university,mixed,library,item,estimate,0
University of Reading,archive,university,mixed,archive,item,estimate,0
University of Sheffield,museum,university,mixed,object,item,estimate,0
University of Sheffield,library,university,mixed,library,item,estimate,30000
University of Sheffield,archive,university,mixed,archive,item,estimate,0
University of St Andrews,museum,university,mixed,object,item,estimate,0
University of St Andrews,library,university,mixed,library,item,estimate,200000
University of St Andrews,archive,university,mixed,archive,item,estimate,0
Glasgow School of Art,museum,university,mixed,object,item,estimate,0
Glasgow School of Art,library,university,mixed,library,item,estimate,0
Glasgow School of Art,archive,university,mixed,archive,item,estimate,0
Royal College of Music London,museum,university,music,object,item,estimate,0
Royal College of Music London,library,university,music,library,item,estimate,0
Royal College of Music London,archive,university,music,archive,item,estimate,0
Royal College of Surgeons,museum,university,medicine,object,item,estimate,3500
Royal College of Surgeons,library,university,medicine,library,item,estimate,0
Royal College of Surgeons,archive,university,medicine,archive,item,estimate,0
British Library,museum,library,mixed,object,item,estimate,0
British Library,library,library,mixed,library,item,estimate,33810000
British Library,archive,library,mixed,archive,item,estimate,12000000
Chetham's Library,museum,library,mixed,object,item,estimate,0
Chetham's Library,library,library,mixed,library,item,estimate,121041
Chetham's Library,archive,library,mixed,archive,item,estimate,0
Glasgow Woman's Library,museum,library,mixed,object,item,estimate,0
Glasgow Woman's Library,library,library,mixed,library,item,estimate,0
Glasgow Woman's Library,archive,library,mixed,archive,item,estimate,0
Lambeth Palace Library,museum,library,theology,object,item,estimate,0
Lambeth Palace Library,library,library,theology,library,item,estimate,186200
Lambeth Palace Library,archive,library,theology,archive,item,estimate,0
National Library of Wales,library,library,mixed,library,item,estimate,7540000
National Library of Wales,museum,library,mixed,object,item,estimate,0
National Library of Wales,archive,library,mixed,archive,item,estimate,0
National Library of Scotland,museum,library,mixed,object,item,estimate,0
National Library of Scotland,library,library,mixed,library,item,estimate,0
National Library of Scotland,archive,library,mixed,archive,item,estimate,0
Amgueddfa Cymru (National Museum Wales),museum,museum,mixed,object,item,estimate,5054426
Amgueddfa Cymru (National Museum Wales),library,museum,mixed,library,item,estimate,265159
Amgueddfa Cymru (National Museum Wales),archive,museum,mixed,archive,item,estimate,0
Historic Royal Palaces,museum,building,mixed,object,item,estimate,60000
Historic Royal Palaces,library,building,mixed,library,item,estimate,0
Historic Royal Palaces,archive,building,mixed,archive,item,estimate,0
National Football Museum,museum,museum,mixed,object,item,estimate,0
National Football Museum,library,museum,mixed,library,item,estimate,0
National Football Museum,archive,museum,mixed,archive,item,estimate,0
National Justice Museum,museum,museum,mixed,object,item,estimate,0
National Justice Museum,library,museum,mixed,library,item,estimate,0
National Justice Museum,archive,museum,mixed,archive,item,estimate,0
National Mining Museum Scotland,museum,museum,industry,object,item,estimate,0
National Mining Museum Scotland,library,museum,industry,library,item,estimate,0
National Mining Museum Scotland,archive,museum,industry,archive,item,estimate,0
National Museum of the Royal Navy,museum,museum,maritime,object,item,estimate,0
National Museum of the Royal Navy,library,museum,maritime,library,item,estimate,0
National Museum of the Royal Navy,archive,museum,maritime,archive,item,estimate,0
National Museums NI,museum,museum,mixed,object,item,estimate,0
National Museums NI,library,museum,mixed,library,item,estimate,0
National Museums NI,archive,museum,mixed,archive,item,estimate,0
National Museums Scotland,museum,museum,mixed,object,item,estimate,12000000
National Museums Scotland,library,museum,mixed,library,item,estimate,0
National Museums Scotland,archive,museum,mixed,archive,item,estimate,0
National Tramway Museum,museum,museum,mixed,object,item,estimate,46690
National Tramway Museum,library,museum,mixed,library,item,estimate,0
National Tramway Museum,archive,museum,mixed,archive,item,estimate,0
National Trust,museum,building,art,object,item,estimate,0
National Trust,library,building,art,library,item,estimate,0
National Trust,archive,building,art,archive,item,estimate,0
National Trust for Scotland,museum,building,art,object,item,estimate,0
National Trust for Scotland,library,building,art,library,item,estimate,0
National Trust for Scotland,archive,building,art,archive,item,estimate,0
National Waterways Museum,museum,building,transport,object,item,estimate,0
National Waterways Museum,library,building,transport,library,item,estimate,0
