institution,record_count
Oxford University,9073455
Bangor University,0
University of York,0
University of Cambridge,0
Cardiff University,0
Durham University,33234
University College London,104446
University of Manchester,0
King's College London,0
University of Birmingham,0
London School of Economics,0
Unversity of Warwick,367655
Middlesex University,0
Manchester Metropolitan Unversity,28600
Queen Mary University of London,0
Queen's University Belfast,0
Swansea University,0
"Royal Holloway, Unversity of London",0
University of Brighton,0
"SOAS, University of London",40337
University of Aberdeen,0
University of Bristol,0
University of Edinburgh,0
University of Exeter,0
University of Glasgow,0
University of Leeds,0
University of Leicester,0
University of Nottingham,0
University of Reading,256057
University of Sheffield,0
University of Southampton,0
University of St Andrews,0
British Library,0
Chetham's Library,0
Glasgow Woman's Library,3567
Lambeth Palace Library,15000
National Library of Wales,0
National Library of Scotland,0
Victoria & Albert Museum,2287380
Science Museum Group,0
Museum of the Home,18490
Horniman Museum,132612
Imperial War Museums,1737698
National Gallery,2626
National Museums Liverpool,73682
National Portrait Gallery,220000
Natural History Museum,78000000
Royal Armouries,265376
Royal Museums Greenwich,0
Sir John Soane's Museum,63557
Tate Gallery Group,886296
The Wallace Collection,0
British Museum,2000000
