institution,subcollection,sector,type,topic,precision,record_count
University of Cambridge,Whipple Museum of the History of Science,university,museum,science,estimate,6979
Unversity of Warwick,Modern Records Centre,university,archive,mixed,exact,367655
University of Reading,Archive Collection,university,archive,history,estimate,186216
National Waterways Museum,Archive Collection,national,archive,transport,estimate,53195
Historic England Archive,Archive Collection,national,archive,transport,estimate,1000000
Historic Environment,Archive Collection,national,archive,transport,estimate,1000000
Royal Air Force Museum,Archive Collection,national,archive,transport,estimate,88
Gwynedd Archive Services,Archive Collection,archives,archive,transport,estimate,12000
Hampshire Archives and Local Studies,Archive Collection,archives,archive,transport,estimate,1000000
Kresen Kernow,Archive Collection,archives,archive,transport,estimate,614909
North East Wales Archives,Archive Collection,archives,archive,transport,estimate,338969
Public Record Office Northern Ireland,Archive Collection,archives,archive,transport,estimate,1000000
Staffordshire Archive and Heritage,Stoke on Trent City Archives,regional,archives,mixed,estimate,44238
Staffordshire Archive and Heritage,Staffordshire Record Office,regional,archives,mixed,estimate,443779
Staffordshire Archive and Heritage,Stoke on Trent City Archives,regional,archives,mixed,estimate,15606
Tyne & Wear Archives Catalogue,Archive Collection,archives,archive,mixed,estimate,4602160
West Glamorgan Archive Service,Archive Collection,archives,archive,mixed,estimate,230000
Yorkshire Film Archive,Archive Collection,archives,archive,mixed,estimate,8483
Institution of Engineering and Technology,Archive Collection,societies,archive,art,estimate,68098
Chatham Historic Dockyard,Archive Collection,independent,archive,nature,estimate,2058
Watts Gallery,Archive Collection,regional,archive,military,estimate,668
"Aberdeen Archives, Gallery and Museums",Archive Collection,regional,archive,medicine,estimate,95798
Bradford District Museums & Galleries,Photographic Archive,regional,archive,mixed,estimate,21878
Ripon Museums,Archive Collection,regional,archive,art,estimate,5
St Helens Borough Council,Archive Collections,regional,archive,mixed,estimate,93344
Victoria & Albert Museum,Victoria & Albert Museum Archives,dcms,archive,art,exact,157853
Royal Armouries,Archive Collection,dcms,archive,nature,estimate,130130
Sir John Soane's Museum,Archive Collection,dcms,archive,nature,estimate,0
Tate Gallery Group,Archive Collection,dcms,archive,nature,estimate,807060
