Institution,subcollection,sector,type,topic,precision,record_count
Oxford University,History of Science Museum,university,museum,science,estimate,21011
Oxford University,Bodleian Library,university,library,mixed,estimate,8000000
Manchester Metropolitan Unversity,Special Collections,university,library,mixed,estimate,28600
"SOAS, University of London",Special Collections,university,library,mixed,estimate,40337
University of Reading,Library Collection,university,library,history,estimate,0
Lambeth Palace Library,Sion College Collections,library,library,theology,estimate,15000
National Museum of the Royal Navy,Library Collection,national,library,architecture,estimate,195690
Royal Air Force Museum,Library Collection,national,library,transport,estimate,1344
Staffordshire Archive and Heritage,William Salt Library,regional,library,mixed,estimate,139389
Chatham Historic Dockyard,Library Collection,independent,library,nature,estimate,1548
Watts Gallery,Library Collection,regional,library,military,estimate,7756
Victoria & Albert Museum,National Art Library,dcms,library,art,estimate,849000
Museum of the Home,Library Collection,dcms,library,history,exact,6290
Royal Armouries,Library Collection,dcms,library,nature,estimate,65627
Sir John Soane's Museum,Library Collection,dcms,library,nature,estimate,57164
